1Title,None,None,None,None,None,None,None,None,None,None
7_competency/discomfor_2,1,2,1,4,5,2,2,1,1,5
7_competency/discomfor_3,1,2,1,5,5,1,2,1,1,4
7_competency/discomfor_4,1,1,1,5,5,4,2,1,1,3
7_competency/discomfor_5,1,2,1,5,4,3,2,1,2,4
7_competency/discomfor_6,1,1,1,3,4,1,2,1,1,2
7_competency/discomfor_7,6,6,8,4,7,4,2,7,3,8
7_competency/discomfor_8,6,6,8,6,7,4,2,5,3,8
7_competency/discomfor_9,4,6,8,6,7,6,2,6,3,8
7_competency/discomfor_10,5,6,8,5,7,3,2,6,5,8
7_competency/discomfor_11,5,6,8,6,5,3,2,6,5,7
7_competency/discomfor_12,1,4,5,5,5,1,2,1,5,7
7_competency/discomfor_13,1,6,1,4,3,8,2,1,2,1
7_competency/discomfor_14,7,7,1,6,6,9,2,1,2,1
7_competency/discomfor_15,7,7,3,5,6,9,2,6,6,1
7_competency/discomfor_16,5,5,1,5,3,6,2,1,4,1
7_competency/discomfor_17,5,3,1,4,1,7,2,1,6,1
7_competency/discomfor_18,1,3,1,4,1,4,2,1,4,1
7_Safety_1,2,2,4,4,3,1,5,3,2,4
7_Safety_2,3,4,1,2,2,4,1,3,4,2
7_Safety_3,4,3,1,3,2,3,1,1,4,2
8_competency/discomfor_1,5,2,1,6,5,1,2,1,5,6
8_competency/discomfor_2,5,2,1,6,5,2,2,1,5,5
8_competency/discomfor_3,5,2,1,6,5,2,2,1,5,4
8_competency/discomfor_4,5,2,1,5,5,4,2,1,4,5
8_competency/discomfor_5,5,1,1,7,4,1,2,1,6,3
8_competency/discomfor_6,5,3,1,4,4,4,2,1,6,3
8_competency/discomfor_7,5,6,9,7,7,7,2,7,6,9
8_competency/discomfor_8,5,6,9,7,7,6,2,7,6,9
8_competency/discomfor_9,5,6,9,8,7,6,2,7,6,9
8_competency/discomfor_10,5,6,9,7,7,7,2,7,6,8
8_competency/discomfor_11,5,6,9,7,5,5,2,7,6,8
8_competency/discomfor_12,5,5,5,6,5,1,2,1,6,8
8_competency/discomfor_13,6,5,1,4,4,8,2,1,4,1
8_competency/discomfor_14,8,5,1,5,6,7,2,1,4,1
8_competency/discomfor_15,8,5,1,4,6,7,2,7,6,1
8_competency/discomfor_16,5,4,1,3,3,6,2,1,4,1
8_competency/discomfor_17,5,4,1,3,1,7,2,1,4,1
8_competency/discomfor_18,5,4,1,4,1,7,2,1,4,1
8_Safety_1,2,4,5,4,3,1,5,3,3,4
8_Safety_2,4,3,1,2,2,5,1,3,3,1
8_Safety_3,4,3,1,3,2,4,1,1,3,1
9_competency/discomfor_1,1,4,1,7,5,3,2,1,3,6
9_competency/discomfor_2,5,4,1,8,5,3,2,1,3,3
9_competency/discomfor_3,5,4,1,8,5,2,2,1,3,5
9_competency/discomfor_4,5,4,2,6,5,5,2,1,3,4
9_competency/discomfor_5,5,4,1,7,5,2,2,1,3,4
9_competency/discomfor_6,5,4,1,5,5,1,2,1,3,3
9_competency/discomfor_7,5,6,7,7,7,7,2,7,5,8
9_competency/discomfor_8,5,6,7,8,7,8,2,7,5,8
9_competency/discomfor_9,5,6,9,8,7,7,2,7,4,8
9_competency/discomfor_10,5,6,8,7,7,7,2,7,5,8
9_competency/discomfor_11,5,6,9,7,5,6,2,7,5,7
9_competency/discomfor_12,5,5,5,6,5,3,2,1,5,7
9_competency/discomfor_13,5,6,1,4,4,8,2,1,4,1
9_competency/discomfor_14,8,7,1,5,6,7,2,1,6,1
9_competency/discomfor_15,8,7,3,6,6,7,2,7,6,1
9_competency/discomfor_16,5,5,1,4,1,8,2,1,3,1
9_competency/discomfor_17,8,5,1,3,1,6,2,1,4,1
9_competency/discomfor_18,5,6,1,4,1,7,2,1,4,1
9_Safety_1,1,2,4,4,3,2,5,3,3,4
9_Safety_2,5,4,1,2,2,4,1,3,3,1
9_Safety_3,5,3,1,3,2,4,1,1,3,2
